RowNumber,Emplyee ID,Hours Training,Geography,Gender,Age,Years of Experience,Number of Machines S/he can work with,Married,Has a Bachelor or Higher Degree,Annual Salary, Reciev Bonus
80,15803136,416,Mexico,Female,41,10,2,1,0,98302,0
81,15706021,665,USA,Female,34,1,2,0,0,171414,0
82,15663706,777,USA,Female,32,2,1,1,0,136458,1
83,15641732,543,USA,Female,36,3,2,0,0,26020,0
84,15701164,506,USA,Female,34,4,1,1,1,159235,0
85,15738751,493,USA,Female,46,4,2,1,0,1908,0
86,15805254,652,Canada,Female,75,10,2,1,1,114676,0
87,15762418,750,Canada,Male,22,3,1,1,0,128643,1
88,15625759,729,USA,Male,30,9,2,1,0,151869,0
89,15622897,646,USA,Female,46,4,3,1,0,93251,1
90,15767954,635,Mexico,Female,28,3,2,1,1,156791,0
91,15757535,647,Canada,Female,44,5,3,1,1,174205,1
92,15731511,808,USA,Male,45,7,2,1,0,147132,0
93,15809248,524,USA,Female,36,10,2,1,0,109615,0
94,15640635,769,USA,Male,29,8,2,1,1,172291,0
95,15676966,730,Canada,Male,42,4,2,0,1,85982,0
96,15699461,515,Canada,Male,35,10,1,0,1,121278,0
97,15738721,773,Canada,Male,41,9,1,0,1,64595,0
98,15693683,814,Mexico,Male,29,8,2,1,1,197276,0
99,15604348,710,Canada,Male,22,8,2,0,0,99645,0
100,15633059,413,USA,Male,34,9,2,0,0,6534,0
101,15808582,665,USA,Female,40,6,1,1,1,161848,0
102,15743192,623,USA,Female,44,6,2,0,0,167162,0
103,15580146,738,USA,Male,31,9,1,1,0,41971,0
104,15776605,528,Canada,Male,36,7,2,1,0,60537,0
105,15804919,670,Canada,Female,65,1,1,1,1,177656,1
106,15613854,622,Canada,Female,46,4,2,1,1,30985,1
107,15599195,582,Mexico,Male,32,1,1,1,1,10055,0
108,15812878,785,Mexico,Female,36,2,1,0,1,36977,0
109,15602312,605,Canada,Male,33,5,1,0,0,71863,0
110,15744689,479,Mexico,Male,35,9,1,1,0,99450,1
111,15803526,685,Mexico,Male,30,3,1,0,1,63083,0
112,15665790,538,Mexico,Male,39,7,2,1,0,27231,0
113,15715951,562,USA,Male,42,2,1,0,0,86797,0
114,15591100,675,Canada,Male,36,9,1,0,1,22994,0
115,15609618,721,Mexico,Male,28,9,2,0,1,101301,1
116,15675522,628,Mexico,Female,30,9,2,1,1,74169,0
117,15705512,668,Mexico,Female,37,6,1,1,0,115638,0
118,15698028,506,USA,Female,41,1,2,1,0,31766,0
119,15661670,524,Mexico,Female,31,8,1,1,0,199725,1
120,15600781,699,Mexico,Male,34,4,2,1,0,120834,0
121,15682472,828,USA,Male,34,8,2,0,0,38132,0
122,15580203,674,Canada,Male,39,6,1,0,0,100131,0
123,15690673,656,USA,Female,39,6,2,1,0,141070,0
124,15760085,684,Mexico,Female,48,10,1,1,1,198129,0
125,15779659,625,USA,Female,28,3,1,0,0,183646,0
126,15627360,432,USA,Male,42,9,1,1,0,110265,1
127,15671137,549,USA,Female,52,1,1,0,1,8636,1
128,15782688,625,Mexico,Male,56,0,1,1,0,46824,1
129,15575492,828,USA,Female,41,7,2,1,0,171379,0
130,15591607,770,USA,Male,24,9,1,1,0,167256,0
131,15740404,758,USA,Female,34,3,2,1,1,124226,0
132,15718369,795,Mexico,Female,33,9,1,1,1,114935,0
133,15677871,687,USA,Male,38,9,1,1,1,35609,0
134,15642004,686,USA,Male,25,1,2,0,1,16459,0
135,15712543,789,Mexico,Male,39,7,2,1,1,124411,0
136,15584518,589,Mexico,Female,50,5,2,1,1,34941,0
137,15802381,461,Mexico,Female,34,5,1,0,1,167784,0
138,15610156,637,USA,Male,40,2,1,0,1,93165,0
139,15594408,584,Canada,Female,48,2,1,1,0,75161,1
140,15640905,579,Canada,Female,35,1,2,0,1,8591,1
141,15698932,756,Mexico,Male,44,10,1,1,0,189544,0
142,15724944,663,USA,Male,34,7,2,1,1,180427,0
143,15628145,682,USA,Female,43,5,1,1,1,193318,0
144,15713483,793,Canada,Male,52,2,1,1,0,159124,1
145,15612350,691,USA,Female,31,5,1,1,0,126214,1
146,15800703,485,Canada,Female,21,5,1,1,1,54142,0
147,15705707,635,Canada,Female,29,8,2,1,0,141076,0
148,15754105,650,USA,Male,37,5,1,0,0,24495,0
149,15703264,735,USA,Male,44,9,1,1,0,74836,0
150,15794413,416,USA,Male,32,0,2,0,1,879,0
151,15650237,754,Canada,Female,32,7,2,1,0,89521,0
152,15759618,535,USA,Female,48,9,1,1,0,149893,1
153,15811589,716,Canada,Male,42,8,2,1,0,180800,0
154,15689044,539,USA,Male,37,2,1,1,0,98646,0
155,15709368,614,USA,Female,43,6,2,1,1,109042,0
156,15679145,706,Canada,Male,57,7,1,1,0,17941,1
157,15655007,758,USA,Female,33,7,2,0,0,82996,0
158,15623595,586,Canada,Female,28,2,2,1,1,92067,0
159,15589975,646,USA,Female,73,6,1,0,1,104720,0
160,15804017,631,Mexico,Female,33,4,1,0,0,112688,0
161,15692132,717,Canada,Female,22,6,1,0,1,84700,0
162,15641122,684,USA,Male,30,2,2,1,0,83474,0
163,15630910,800,USA,Female,49,7,1,0,0,47125,0
164,15680772,721,Canada,Female,36,2,2,1,1,106978,0
165,15658929,683,Canada,Male,29,0,1,1,0,55583,1
166,15585388,660,Mexico,Male,31,9,2,1,1,139874,0
167,15724623,704,Mexico,Female,24,7,1,1,0,162503,1
168,15588537,615,Canada,Female,41,9,1,1,0,196500,0
169,15574692,667,Canada,Female,39,2,2,1,0,40721,1
170,15611325,682,Mexico,Male,24,9,2,0,0,53134,0
171,15587562,484,USA,Female,29,4,1,1,0,164018,0
172,15613172,628,Mexico,Male,27,5,2,1,0,155997,0
173,15651022,480,Mexico,Male,44,10,1,1,0,5473,1
174,15586310,578,USA,Male,30,4,1,1,0,112187,0
175,15625524,512,USA,Male,40,5,2,1,1,146458,0
176,15755209,484,Canada,Female,35,7,1,1,1,27286,0
177,15645248,510,USA,Female,30,0,2,1,1,130553,0
178,15790355,606,Mexico,Male,36,5,2,0,0,179352,0
179,15762615,597,Canada,Female,40,8,1,0,1,94774,0
180,15625426,754,Mexico,Female,55,3,1,1,0,8081,1
181,15716334,850,Canada,Female,45,2,1,1,1,19483,0
182,15789669,510,USA,Male,65,2,2,1,1,48072,0
183,15621075,778,Mexico,Female,45,1,2,1,0,174531,0
184,15810845,636,USA,Male,42,2,2,1,1,55471,0
185,15719377,804,USA,Female,50,4,1,1,1,8547,1
186,15654506,514,USA,Male,32,8,2,1,0,95857,0
187,15771977,730,USA,Female,39,1,1,1,0,194946,0
188,15708710,525,Canada,Female,37,0,1,0,1,131522,0
189,15726676,616,Canada,Male,30,5,2,0,1,196109,0
190,15587421,687,Mexico,Female,34,7,2,1,0,148565,0
191,15726931,715,USA,Female,41,8,2,0,0,92983,1
192,15771086,512,USA,Female,36,3,2,1,0,17675,0
193,15756850,479,USA,Male,40,1,2,0,0,114996,0
194,15702741,601,USA,Male,32,8,1,1,0,86957,0
195,15679200,580,Canada,Male,29,9,2,1,0,128078,0
196,15594815,807,USA,Male,35,3,1,1,1,600,0
197,15635905,616,Canada,Female,32,6,2,1,1,43001,0
198,15777892,721,Mexico,Male,37,3,1,1,1,158591,0
199,15656176,501,USA,Male,57,10,2,1,1,47847,0
200,15811127,521,USA,Male,35,6,1,1,0,10488,0
201,15604482,850,Canada,Male,30,2,1,1,1,5978,0
202,15622911,759,USA,Male,42,4,1,0,1,121409,0
203,15600974,516,Canada,Male,50,5,1,0,1,146146,1
204,15727868,711,USA,Female,38,2,2,1,1,14375,1
205,15627801,512,Canada,Male,33,3,1,1,0,94671,0
206,15773039,550,USA,Male,37,3,1,1,1,179670,0
207,15755262,608,Canada,Female,41,3,1,0,0,199305,1
208,15679531,618,USA,Male,34,5,1,1,1,151954,0
209,15684181,643,USA,Male,45,5,1,1,0,142514,1
210,15612087,671,USA,Male,45,2,1,0,1,158265,0
211,15752047,689,Mexico,Male,33,2,2,1,0,169382,0
212,15624592,603,USA,Male,31,8,2,1,1,169915,0
213,15573152,620,USA,Female,41,9,2,0,0,88852,0
214,15594917,676,USA,Female,34,1,1,1,1,40646,0
215,15785542,572,Mexico,Male,26,4,2,0,0,60427,0
216,15723488,668,Mexico,Male,47,7,1,0,1,157959,1
217,15680920,695,USA,Male,46,7,1,1,0,133007,0
218,15786308,730,Canada,Female,33,9,2,0,0,176577,0
219,15659366,807,USA,Male,43,1,2,1,0,34888,1
220,15774854,592,USA,Male,54,8,1,1,1,28738,1
221,15725311,726,USA,Female,31,9,2,1,1,98179,0
222,15787155,514,Canada,Male,30,7,1,0,1,125010,0
223,15727829,567,USA,Male,42,2,2,1,1,167985,0
224,15733247,850,USA,Male,33,10,1,1,0,4862,1
225,15568748,671,Mexico,Male,45,6,1,1,1,108872,1
226,15699029,670,USA,Male,37,4,2,1,0,198253,0
227,15774393,694,USA,Female,30,9,2,1,1,26960,0
228,15676895,547,Mexico,Female,39,6,3,1,1,85747,1
229,15637753,751,Mexico,Male,50,2,1,1,0,77206,1
230,15605461,594,Mexico,Female,29,3,1,1,0,61049,0
231,15808473,673,USA,Male,72,1,2,0,1,111981,0
232,15627000,610,USA,Male,40,0,2,1,0,62233,0
233,15787174,512,USA,Female,37,1,2,0,1,156105,0
234,15723886,767,Mexico,Male,20,3,2,0,1,150135,0
235,15704769,585,USA,Female,67,5,2,0,1,93146,0
236,15772896,763,Mexico,Male,42,6,1,1,0,33463,1
237,15711540,712,USA,Female,29,2,1,1,1,144375,0
238,15764866,539,Mexico,Female,43,3,3,1,0,55804,1
239,15794056,668,USA,Female,46,2,3,1,0,89048,1
240,15795149,703,USA,Male,28,2,2,0,1,162812,0
241,15812009,662,Canada,Male,38,4,2,1,0,136260,0
242,15651001,725,Mexico,Female,39,5,1,1,0,124053,0
243,15813844,703,USA,Male,37,8,2,0,1,74159,0
244,15596175,659,Mexico,Male,67,6,1,1,1,45071,1
245,15576269,523,Canada,Male,34,7,2,1,0,62030,0
246,15797219,635,USA,Female,40,10,1,1,0,131953,1
247,15685500,772,Mexico,Male,26,7,2,1,0,79414,0
248,15599792,545,USA,Female,26,1,2,1,1,199639,0
249,15657566,634,Mexico,Male,24,8,1,1,1,157577,0
250,15772423,739,Mexico,Male,54,8,1,1,0,134421,1
251,15628112,771,Mexico,Female,36,5,1,0,0,99806,0
252,15753754,587,Canada,Female,34,1,2,1,1,97933,0
253,15793726,681,USA,Female,79,0,2,0,1,170969,0
254,15694717,544,Mexico,Male,37,2,1,1,1,57559,0
255,15665834,696,Canada,Male,28,8,1,0,0,176713,0
256,15765297,766,Canada,Male,41,0,2,0,1,34283,0
257,15636684,727,USA,Male,34,10,2,1,1,198637,0
258,15592979,671,Mexico,Female,34,6,2,0,0,156917,0
259,15750803,693,USA,Female,30,6,1,1,1,50457,0
260,15607178,850,Mexico,Male,38,3,1,1,1,140076,0
261,15713853,732,Mexico,Male,42,9,2,1,1,65323,0
262,15673481,726,Canada,Female,48,6,1,1,0,64323,0
263,15686776,557,USA,Female,32,6,2,1,0,14956,0
264,15673693,682,USA,Female,26,0,1,0,1,111879,0
265,15700696,738,Canada,Male,31,9,1,1,1,18606,0
266,15813163,531,Canada,Female,36,9,1,1,0,123137,0
267,15653857,498,USA,Male,34,2,2,1,1,148528,0
268,15777076,651,USA,Male,36,7,2,1,0,13898,0
269,15717398,549,Canada,Female,39,7,1,0,0,81259,1
270,15799217,791,Mexico,Female,35,7,1,1,0,161052,0
271,15787071,650,Canada,Male,41,9,2,0,1,191600,0
272,15619955,733,Mexico,Male,34,3,3,1,0,48559,1
273,15796505,811,Mexico,Female,34,1,2,1,1,186340,0
274,15725166,707,USA,Male,30,8,2,1,0,33159,0
275,15800116,712,Mexico,Male,28,4,1,0,1,93884,0
276,15758685,706,Canada,Female,37,7,2,1,1,110899,0
277,15694456,756,USA,Male,62,3,1,1,1,11199,1
278,15767339,777,USA,Female,53,10,2,1,0,189993,0
279,15683562,646,USA,Male,35,6,1,0,1,164256,0
280,15782210,714,USA,Male,46,1,1,1,0,152168,1
281,15668893,782,USA,Male,39,8,2,1,1,33950,0
282,15669169,775,Canada,Male,29,10,2,1,1,68144,0
283,15643024,479,Mexico,Male,35,4,1,1,1,47252,1
284,15699389,807,USA,Male,42,7,1,1,1,25886,0
285,15708608,799,USA,Female,22,8,2,0,1,192634,0
286,15626144,675,USA,Male,40,7,2,1,0,34577,0
287,15573112,602,Canada,Male,29,5,1,1,0,161230,0
288,15790678,475,USA,Female,32,8,1,1,0,100816,0
289,15727556,744,Canada,Female,26,5,1,1,1,181694,0
290,15697307,588,Canada,Male,34,10,2,1,0,79079,0
291,15652266,703,Mexico,Male,42,9,1,0,1,137316,0
292,15607098,747,Canada,Female,41,5,2,1,0,194927,0
293,15655774,583,USA,Male,27,7,2,1,0,51285,0
294,15590241,750,Canada,Female,34,9,1,0,0,150402,1
295,15785819,681,USA,Male,38,3,2,1,1,112492,0
296,15723654,773,USA,Male,25,2,1,1,0,73656,0
297,15774510,714,USA,Female,31,4,1,1,1,106637,0
298,15684173,687,Canada,Female,44,7,3,1,0,155854,1
299,15650068,511,USA,Male,58,0,1,1,1,162600,0
300,15811490,627,USA,Male,33,5,2,1,1,103738,0
301,15803976,694,USA,Female,31,10,2,1,0,160990,0
302,15682541,616,Canada,Female,36,6,1,0,0,15463,0
303,15695699,687,USA,Male,35,8,2,1,0,10334,0
304,15624188,712,USA,Female,33,6,2,1,1,190686,0
305,15812191,553,USA,Male,33,4,1,0,0,94440,0
306,15636673,667,USA,Male,31,1,1,1,1,28258,0
307,15594898,731,USA,Male,43,2,1,1,1,170035,1
308,15660211,629,Mexico,Male,35,7,2,1,0,31824,0
309,15773972,614,USA,Male,50,4,1,1,0,127166,1
310,15746726,438,Mexico,Male,31,8,1,1,0,44937,0
311,15712287,652,USA,Female,80,4,2,1,1,188603,0
312,15702919,729,Mexico,Male,30,6,1,1,0,145111,0
313,15674398,642,USA,Male,38,3,2,0,0,171464,0
314,15797960,806,Mexico,Female,59,0,1,1,0,182823,0
315,15631868,744,Canada,Male,36,2,1,1,1,87213,0
316,15581539,474,Canada,Male,37,3,2,0,0,57175,0
317,15662736,559,USA,Male,49,2,1,1,0,120541,1
318,15666252,706,Canada,Male,42,9,2,1,1,28714,0
319,15677512,628,Canada,Female,22,3,1,1,0,85426,0
320,15626114,429,USA,Male,24,4,1,1,0,46171,0
321,15810834,525,Canada,Female,57,2,1,1,1,64448,0
322,15678910,680,USA,Female,30,8,1,1,1,16279,0
323,15694408,749,USA,Male,40,1,1,1,0,182855,1
324,15585215,763,USA,Female,31,4,2,0,0,50405,0
325,15682757,734,USA,Male,30,3,2,1,0,107640,0
326,15736601,716,USA,Male,35,4,1,1,0,134133,0
327,15601848,594,USA,Male,35,2,2,1,0,103481,0
328,15736008,644,USA,Female,46,9,1,1,0,108761,1
329,15669064,671,Mexico,Male,35,1,1,1,1,179012,0
330,15624528,664,Mexico,Male,26,7,2,1,1,95145,0
331,15598493,656,USA,Male,50,7,2,0,1,72143,0
332,15601274,667,Canada,Female,40,1,1,1,0,19163,0
333,15702669,663,Mexico,Male,44,2,2,0,1,144680,0
334,15728669,584,Mexico,Female,30,8,1,1,0,177772,1
335,15742668,626,Canada,Female,37,6,1,1,0,5598,0
336,15697441,485,USA,Male,29,7,1,1,0,116829,1
337,15740476,659,Mexico,Female,32,3,2,0,1,174653,0
338,15648064,649,USA,Male,33,2,2,1,0,2011,0
339,15636624,805,Canada,Female,39,5,1,1,0,14110,1
340,15807923,716,Mexico,Female,39,10,1,1,0,43527,1
341,15745844,642,Mexico,Female,40,6,2,0,1,86099,1
342,15786170,659,USA,Male,31,4,1,0,0,161574,0
343,15681081,545,Canada,Female,47,5,2,1,1,38970,0
344,15684484,543,USA,Male,22,8,2,0,0,127587,0
345,15785869,718,USA,Female,25,7,2,1,0,30380,0
346,15763859,840,USA,Female,43,7,2,1,0,90909,0
347,15658935,630,Mexico,Female,34,9,2,1,0,138275,0
348,15747358,643,Mexico,Male,59,3,1,1,1,32172,0
349,15735203,654,Mexico,Female,32,1,1,1,1,126143,0
350,15576256,582,USA,Male,39,5,2,1,1,129893,0
351,15659420,659,Canada,Male,32,3,2,1,1,102417,0
352,15593365,762,Canada,Male,39,2,1,1,1,18720,0
353,15777352,568,Canada,Female,32,7,1,1,0,61936,0
354,15812007,670,Canada,Male,25,6,2,1,1,78359,0
355,15625461,613,USA,Female,45,1,2,1,1,147224,0
356,15739438,539,USA,Male,30,0,2,1,0,160980,0
357,15611759,850,Canada,Female,57,8,2,1,1,132298,0
358,15661629,522,Canada,Male,34,9,1,1,0,174249,1
359,15633950,737,USA,Male,41,1,1,1,1,123547,0
360,15592386,520,USA,Male,58,3,2,0,1,32790,0
361,15803716,706,Canada,Male,28,3,2,0,1,181544,0
362,15696674,643,Mexico,Female,45,2,1,0,1,2320,1
363,15706365,648,USA,Female,50,9,1,1,1,189543,0
364,15745088,443,Mexico,Female,29,9,2,1,0,10940,0
365,15676715,640,USA,Male,68,9,2,1,1,199493,0
366,15613085,628,Canada,Female,33,3,1,1,1,188193,0
367,15633537,540,Mexico,Female,42,9,2,1,0,172573,0
368,15594720,460,Mexico,Female,35,8,2,1,1,189340,0
369,15684042,636,Mexico,Male,34,2,2,0,1,53512,0
370,15583303,593,USA,Female,29,2,1,1,0,34004,0
371,15611579,801,Canada,Male,42,4,1,1,1,10598,0
372,15774696,640,Mexico,Female,75,1,2,0,1,113429,0
373,15694506,611,Mexico,Male,31,0,2,1,1,183488,0
374,15688074,802,Mexico,Male,31,1,1,1,1,187658,0
375,15759537,717,Mexico,Male,35,7,2,1,1,172459,0
376,15758449,769,USA,Female,39,8,1,0,1,21016,0
377,15583456,745,Mexico,Male,45,10,3,1,1,122381,1
378,15667871,572,Canada,Male,35,4,1,1,0,128124,0
379,15677371,629,Canada,Female,30,2,1,1,0,19571,0
380,15629677,687,Canada,Female,39,2,3,0,0,188151,1
381,15713578,483,USA,Female,50,9,2,1,1,111020,0
382,15591509,690,USA,Male,36,7,2,1,0,123775,0
383,15568240,492,Mexico,Female,30,10,2,0,1,146700,0
384,15622993,709,Mexico,Male,28,8,2,1,0,145251,0
385,15689294,705,Mexico,Male,44,3,1,1,0,82464,0
386,15720910,560,USA,Female,66,9,1,1,1,15928,0
387,15721181,611,Canada,Male,46,6,2,1,0,45886,0
388,15776433,730,Canada,Male,62,2,2,1,1,186490,0
389,15748936,709,Canada,Female,45,2,2,0,1,162923,0
390,15717225,544,USA,Female,21,10,2,1,0,9263,0
391,15685226,712,Mexico,Female,29,7,1,1,1,84932,0
392,15785611,752,Mexico,Male,38,3,1,1,1,71557,0
393,15573456,648,Canada,Male,46,9,2,1,0,77406,1
394,15684548,556,Canada,Male,38,8,2,0,0,417,1
395,15620505,594,Canada,Female,24,0,1,1,1,71405,0
396,15807432,645,Mexico,Female,37,2,2,0,1,153400,0
397,15584766,557,USA,Male,33,3,1,1,1,371,0
398,15612187,547,Mexico,Male,32,8,1,1,0,67790,0
399,15762218,701,USA,Female,39,9,2,0,1,145895,0
400,15646372,616,USA,Female,66,1,1,1,0,183841,1
401,15690452,605,USA,Male,52,1,1,1,0,108887,0
402,15747795,593,Mexico,Female,38,4,1,1,1,154071,0
403,15781589,751,Canada,Male,52,8,2,0,1,179292,0
404,15732674,443,Canada,Male,36,6,2,0,1,56937,0
405,15642291,685,USA,Male,23,8,2,1,1,112239,0
406,15692761,718,USA,Male,36,9,1,1,0,45910,0
407,15578045,538,Canada,Female,49,9,1,0,0,173779,1
408,15745354,611,Canada,Female,37,4,2,1,0,125696,0
409,15701376,668,Mexico,Male,37,10,2,1,1,159586,0
410,15691625,537,Mexico,Female,41,3,1,1,0,106761,0
411,15566594,709,Canada,Male,23,10,2,0,0,129590,0
412,15760431,850,USA,Male,38,1,2,1,1,80007,0
413,15686302,745,Canada,Female,31,3,1,1,1,140452,0
414,15801559,693,Mexico,Female,41,9,3,1,1,187929,1
415,15810432,795,Canada,Male,35,8,2,1,0,167155,0
416,15809616,626,Canada,Male,26,8,2,0,0,191421,0
417,15720559,487,Mexico,Female,61,5,1,0,0,11384,1
418,15695632,556,USA,Female,39,9,1,1,1,94898,0
419,15659843,643,USA,Female,46,6,2,0,0,106782,0
420,15615624,605,USA,Female,28,6,2,0,0,159509,0
421,15810418,756,Mexico,Female,60,3,1,1,0,93524,1
422,15716186,586,USA,Female,38,2,2,1,0,87168,0
423,15674551,535,Mexico,Male,40,7,1,1,0,8128,1
424,15622834,678,USA,Female,35,4,1,1,0,125518,0
425,15566111,596,USA,Male,39,9,1,1,0,48964,0
426,15784597,648,USA,Male,26,9,1,1,0,98368,0
427,15652883,492,Mexico,Male,39,10,2,1,0,148585,0
428,15806964,702,USA,Male,45,0,1,1,1,27475,0
429,15576313,486,Mexico,Female,40,9,1,1,0,76192,0
430,15806467,568,Mexico,Male,40,1,1,0,0,134601,1
431,15597602,619,Mexico,Male,57,3,1,1,1,72468,1
432,15743040,724,Mexico,Male,41,2,2,0,1,199645,0
433,15705521,548,Mexico,Female,33,0,1,1,0,42750,0
434,15595039,545,Mexico,Female,37,8,1,1,0,136050,1
435,15799384,683,USA,Male,33,8,1,0,0,73564,0
436,15581197,762,USA,Female,51,3,1,0,1,85579,0
437,15693737,627,Mexico,Female,30,4,2,1,0,129827,0
438,15624623,516,USA,Male,35,10,2,0,0,119666,0
439,15783501,800,USA,Female,38,2,2,1,0,68052,0
440,15690134,464,Mexico,Female,42,3,1,1,1,164105,0
441,15782735,626,USA,Female,35,3,1,0,0,80190,0
442,15611088,790,USA,Female,31,9,2,1,0,84127,0
443,15672145,534,USA,Female,34,7,2,1,1,70179,0
444,15732628,745,USA,Male,46,2,1,1,1,118024,0
445,15787470,553,Canada,Male,47,3,1,0,0,145704,1
446,15803406,748,USA,Female,26,1,1,0,1,183049,0
447,15730460,722,USA,Male,37,2,1,0,0,120907,0
448,15644572,501,USA,Male,40,4,1,1,1,100434,0
449,15694860,675,USA,Female,38,6,1,0,0,138777,1
450,15658169,778,Canada,Female,47,6,2,1,0,124695,0
451,15794396,494,Mexico,Female,38,7,1,1,0,40084,0
452,15785798,850,USA,Male,40,9,2,0,1,119232,0
453,15710825,592,Canada,Male,31,7,1,0,0,43921,0
454,15668444,590,Canada,Female,44,3,1,1,0,62223,0
455,15726631,758,USA,Female,39,6,1,0,1,56577,0
456,15733797,506,USA,Male,36,5,2,1,0,164253,0
457,15747960,733,USA,Male,33,3,1,1,1,7667,0
458,15634632,711,USA,Male,38,3,2,1,0,68488,0
459,15707362,514,Mexico,Male,43,1,1,0,1,199274,1
460,15662976,637,Canada,Male,37,8,1,1,1,186062,0
461,15732778,468,Mexico,Male,29,1,2,1,1,195711,0
462,15718443,539,USA,Male,39,3,2,1,0,36692,0
463,15670039,509,Canada,Female,25,3,2,1,0,106921,0
